trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.35, 'e': 0.49999999999999956}",20,16,7.905621092856311,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.35, 'e': 0.49499999999999955}",20,10,5.308882469595068,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.35, 'e': 0.48999999999999955}",25,0,-96.23493137790273,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
103,False,"{'a': 0.35, 'e': 0.48499999999999954}",30,0,-44.36217573558312,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.35, 'e': 0.47999999999999954}",20,6,2.6358739328622685,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.35, 'e': 0.47499999999999953}",20,0,-42.066233101253786,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.35, 'e': 0.46999999999999953}",25,13,14.30782726010656,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.35, 'e': 0.4649999999999995}",35,0,-44.34930883425905,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.35, 'e': 0.4599999999999995}",20,0,-61.8985900183115,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
109,False,"{'a': 0.35, 'e': 0.4549999999999995}",30,4,-135.84127261654825,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 2}",1
110,False,"{'a': 0.35, 'e': 0.4499999999999995}",20,0,-22.69298607640758,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.35, 'e': 0.4449999999999995}",25,5,-1.2423883490380296,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.35, 'e': 0.4399999999999995}",20,12,-27.044393118836183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.35, 'e': 0.4349999999999995}",20,2,-30.561118615435362,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.35, 'e': 0.4299999999999995}",20,0,-96.56301186066877,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
115,False,"{'a': 0.35, 'e': 0.4249999999999995}",20,0,-15.635073031029865,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.35, 'e': 0.4199999999999995}",20,1,-48.34401082635214,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
117,False,"{'a': 0.35, 'e': 0.4149999999999995}",20,10,13.575492435864287,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.35, 'e': 0.4099999999999995}",30,0,-22.687467739753675,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",1
119,False,"{'a': 0.35, 'e': 0.40499999999999947}",20,14,-0.1249738866710719,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.35, 'e': 0.39999999999999947}",25,12,9.385372428915117,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.35, 'e': 0.39499999999999946}",25,0,3.7567542220959487,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.35, 'e': 0.38999999999999946}",25,5,20.287011677800457,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.35, 'e': 0.38499999999999945}",20,10,-30.131785668245733,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.35, 'e': 0.37999999999999945}",20,11,3.933852206987405,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.35, 'e': 0.37499999999999944}",25,13,-13.820103419972481,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.35, 'e': 0.36999999999999944}",25,18,7.633492918313215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.35, 'e': 0.36499999999999944}",25,17,13.087242803853496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.35, 'e': 0.35999999999999943}",25,20,9.924830461639825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.35, 'e': 0.3549999999999994}",20,7,-47.935374367288695,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.35, 'e': 0.3499999999999994}",20,6,14.589874357276182,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.35, 'e': 0.3449999999999994}",30,12,12.50844672953702,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.35, 'e': 0.3399999999999994}",20,14,-30.279881287496657,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.35, 'e': 0.3349999999999994}",20,5,-13.371481802692237,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
134,False,"{'a': 0.35, 'e': 0.3299999999999994}",35,16,-6.170678137752949,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
135,False,"{'a': 0.35, 'e': 0.3249999999999994}",30,18,-9.779429190836426,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.35, 'e': 0.3199999999999994}",25,0,2.6845155715673625,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.35, 'e': 0.3149999999999994}",30,0,-66.53442400830905,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.35, 'e': 0.3099999999999994}",20,7,-6.412331718181985,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.35, 'e': 0.3049999999999994}",30,18,-13.92229619492102,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.35, 'e': 0.2999999999999994}",30,21,15.386074781419033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.35, 'e': 0.2949999999999994}",25,20,8.808031148756163,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.35, 'e': 0.28999999999999937}",20,12,12.75045059785909,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.35, 'e': 0.28499999999999936}",20,14,-0.6832101002832149,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.35, 'e': 0.27999999999999936}",20,6,12.837829828268113,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.35, 'e': 0.27499999999999936}",20,9,-1.485483956515779,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.35, 'e': 0.26999999999999935}",25,2,-27.110704126790242,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'a': 0.35, 'e': 0.26499999999999935}",25,15,6.644184712926302,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.35, 'e': 0.25999999999999934}",25,12,21.968096346178513,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.35, 'e': 0.25499999999999934}",20,15,1.275534343711551,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.35, 'e': 0.24999999999999933}",30,19,-69.84577434939436,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
151,False,"{'a': 0.35, 'e': 0.24499999999999933}",20,0,6.9024484267546775,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
152,False,"{'a': 0.35, 'e': 0.23999999999999932}",25,18,5.979274731559422,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.35, 'e': 0.23499999999999932}",35,23,10.963432299396239,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.35, 'e': 0.22999999999999932}",20,0,-61.23169235137433,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
155,False,"{'a': 0.35, 'e': 0.2249999999999993}",25,14,8.628361988144906,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.35, 'e': 0.2199999999999993}",20,5,-14.614145448652069,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.35, 'e': 0.2149999999999993}",25,13,9.15766543590432,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.35, 'e': 0.2099999999999993}",35,4,24.34530173989337,"{0: 28, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.35, 'e': 0.2049999999999993}",30,20,18.486696697905625,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
