,source,dbType,source_type,jobType,run_time,total_objects_count,avg_object_run_time,avg_run_time,max_run_time,min_run_time,std_run_time,avg_table_run_time,max_table_run_time,min_table_run_time
83,FX Rates,oracle,db,raw,1669,165,49.9394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
84,FX Rates,oracle,db,raw,1172,165,68.6424,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
85,FX Rates,oracle,db,hive,113,2,76.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
86,FX Rates,oracle,db,raw,1540,165,49.1212,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
87,FX Rates,oracle,db,raw,1693,165,100.2424,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
88,FX Rates,oracle,db,hive,234,2,140.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
89,FX Rates,oracle,db,raw,1422,165,46.2000,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
90,FX Rates,oracle,db,hive,213,2,185.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
91,FX Rates,oracle,db,raw,3172,165,90.9152,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
92,FX Rates,oracle,db,raw,1716,165,101.8121,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
93,FX Rates,oracle,db,hive,88,2,65.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
94,FX Rates,oracle,db,raw,3002,165,88.5273,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
95,FX Rates,oracle,db,raw,1710,165,101.3697,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
96,FX Rates,oracle,db,raw,1752,165,103.9515,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
97,FX Rates,oracle,db,raw,1446,165,47.0788,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
98,FX Rates,oracle,db,raw,1206,165,70.5939,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
99,FX Rates,oracle,db,hive,82,2,78.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
100,FX Rates,oracle,db,raw,1399,165,46.0000,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
101,FX Rates,oracle,db,hive,96,2,73.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
102,FX Rates,oracle,db,raw,3003,165,91.9333,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
103,FX Rates,oracle,db,raw,1810,165,105.7697,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
104,FX Rates,oracle,db,hive,105,2,72.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
105,FX Rates,oracle,db,raw,1668,165,50.0182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
106,FX Rates,oracle,db,hive,223,2,170.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
107,FX Rates,oracle,db,raw,1612,165,49.9394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
108,FX Rates,oracle,db,hive,103,2,66.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
109,FX Rates,oracle,db,raw,1611,165,47.3818,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
110,FX Rates,oracle,db,hive,73,2,52.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
111,FX Rates,oracle,db,raw,1593,165,47.4424,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
112,FX Rates,oracle,db,hive,71,2,50.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
113,FX Rates,oracle,db,raw,1630,165,48.3818,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
114,FX Rates,oracle,db,hive,78,2,55.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
115,FX Rates,oracle,db,raw,1605,165,48.1758,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
116,FX Rates,oracle,db,hive,69,2,51.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
117,FX Rates,oracle,db,raw,1631,165,47.7758,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
118,FX Rates,oracle,db,hive,84,2,58.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
119,FX Rates,oracle,db,raw,1622,165,48.0000,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
120,FX Rates,oracle,db,hive,52,2,48.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
121,FX Rates,oracle,db,raw,1682,165,51.0667,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
122,FX Rates,oracle,db,hive,160,2,102.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
123,FX Rates,oracle,db,raw,1607,165,48.4303,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
124,FX Rates,oracle,db,hive,50,2,40.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
125,FX Rates,oracle,db,raw,1653,165,49.1030,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
126,FX Rates,oracle,db,hive,68,2,50.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
127,FX Rates,oracle,db,raw,1456,165,45.0788,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
128,FX Rates,oracle,db,hive,70,2,52.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
129,FX Rates,oracle,db,raw,1502,165,45.8182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
130,FX Rates,oracle,db,hive,49,2,46.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
131,FX Rates,oracle,db,raw,1806,165,50.3758,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
132,FX Rates,oracle,db,hive,81,2,54.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
133,FX Rates,oracle,db,raw,1500,165,46.6000,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
134,FX Rates,oracle,db,hive,48,2,42.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
135,FX Rates,oracle,db,raw,1732,165,53.4182,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
136,FX Rates,oracle,db,hive,138,2,81.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
137,FX Rates,oracle,db,raw,1508,165,46.4061,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
138,FX Rates,oracle,db,hive,88,2,58.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
139,FX Rates,oracle,db,raw,1464,165,45.3515,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
140,FX Rates,oracle,db,hive,92,2,60.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
141,FX Rates,oracle,db,raw,1481,165,45.8121,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
142,FX Rates,oracle,db,hive,90,2,68.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
143,FX Rates,oracle,db,raw,1488,165,46.2848,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
144,FX Rates,oracle,db,hive,76,2,53.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
145,FX Rates,oracle,db,raw,1763,165,50.2303,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
146,FX Rates,oracle,db,hive,75,2,53.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
147,FX Rates,oracle,db,raw,1478,165,45.8424,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
148,FX Rates,oracle,db,hive,71,2,51.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
149,FX Rates,oracle,db,raw,1619,165,48.2242,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
150,FX Rates,oracle,db,hive,383,2,178.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
151,FX Rates,oracle,db,raw,1504,165,47.1636,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
152,FX Rates,oracle,db,hive,42,2,37.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
153,FX Rates,oracle,db,raw,1442,165,46.0485,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
154,FX Rates,oracle,db,hive,96,2,65.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
155,FX Rates,oracle,db,raw,1515,165,46.7636,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
156,FX Rates,oracle,db,hive,90,2,59.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
157,FX Rates,oracle,db,raw,1450,165,46.1939,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
158,Fourthshift,sqlserver,db,hive,540,47,48.1915,473.428571429,2769.0,1.0,576.857638152,79.3908880524,313.441176471,22.5
159,Fourthshift,sqlserver,db,raw,3300,47,259.8936,14504.2115385,74748.0,1.0,19663.8404119,528.262726655,96791.0,22.0
160,FX Rates,oracle,db,hive,90,2,62.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
161,FX Rates,oracle,db,raw,1649,165,48.6970,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
162,Concorde,oracle,db,hive,217,18,44.7778,567.675675676,1783.0,2.0,562.765039256,135.139139038,389.09375,29.46875
163,Concorde,oracle,db,raw,20732,19,1679.5263,18816.0263158,20844.0,42.0,4838.1740003,1648.16465546,18172.125,30.9393939394
164,FX Rates,oracle,db,hive,85,2,58.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
165,FX Rates,oracle,db,raw,1472,165,46.0848,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
166,FX Rates,oracle,db,hive,149,2,105.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
167,FX Rates,oracle,db,raw,1671,165,54.3636,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
